ltrans=1.0;unitid=00:00:24:c4:67:b0;timestamp=1206698418
timestamp;lat;lon;speed;direction;toerental_schroef_1;toerental_schroef_2
1206703666;52.485433;4.810350;0.000000;0.000000;27;48
1206703671;52.485433;4.810350;0.000000;0.000000;27;48
1206703676;52.485450;4.810350;0.000000;0.000000;27;48
1206703682;52.485433;4.810350;0.000000;0.000000;27;48
1206703688;52.485433;4.810350;0.000000;0.000000;27;48
1206703693;52.485433;4.810350;0.000000;0.000000;27;48
1206703698;52.485417;4.810383;0.000000;0.000000;27;48
1206703703;52.485417;4.810383;0.000000;0.000000;27;48
1206703708;52.485417;4.810383;0.000000;0.000000;27;48
1206703713;52.485417;4.810383;0.000000;0.000000;27;47
1206703719;52.485433;4.810367;0.000000;0.000000;27;47
1206703724;52.485433;4.810367;0.000000;0.000000;27;48
1206703729;52.485433;4.810367;0.000000;0.000000;27;47
1206703734;52.485433;4.810367;0.000000;0.000000;27;48
1206703739;52.485433;4.810333;0.000000;0.000000;27;48
1206703746;52.485433;4.810333;0.000000;0.000000;27;48
1206703751;52.485433;4.810333;0.000000;0.000000;27;48
1206703756;52.485433;4.810333;0.000000;0.000000;27;48
1206703761;52.485433;4.810333;0.000000;0.000000;27;50
1206703766;52.485433;4.810333;0.000000;0.000000;27;48
1206703771;52.485433;4.810317;0.000000;0.000000;27;48
1206703777;52.485450;4.810317;0.000000;0.000000;25;48
1206703782;52.485450;4.810317;0.000000;0.000000;25;48
1206703787;52.485450;4.810300;0.000000;0.000000;27;48
1206703792;52.485450;4.810300;0.000000;0.000000;27;48
1206703797;52.485467;4.810300;0.000000;0.000000;25;48
1206703813;52.485467;4.810300;0.000000;0.000000;27;48
1206703820;52.485467;4.810300;0.000000;0.000000;27;48
1206703826;52.485467;4.810300;0.000000;0.000000;27;48
1206703832;52.485450;4.810317;0.000000;0.000000;27;48
1206703837;52.485450;4.810317;0.000000;0.000000;27;48
1206703842;52.485467;4.810317;0.000000;0.000000;27;48
1206703847;52.485467;4.810317;0.000000;0.000000;27;48
1206703852;52.485467;4.810317;0.000000;0.000000;27;48
1206703857;52.485467;4.810317;0.000000;0.000000;27;48
1206703863;52.485467;4.810317;0.000000;0.000000;27;48
1206703869;52.485467;4.810317;0.000000;0.000000;27;48
1206703874;52.485450;4.810317;0.000000;0.000000;25;48
1206703879;52.485450;4.810317;0.000000;0.000000;25;48
1206703884;52.485450;4.810317;0.000000;0.000000;25;48
1206703889;52.485450;4.810333;0.000000;0.000000;27;48
1206703894;52.485450;4.810333;0.000000;0.000000;27;48
1206703900;52.485450;4.810333;0.000000;0.000000;27;48
1206703905;52.485450;4.810333;0.000000;0.000000;27;48
1206703910;52.485450;4.810333;0.000000;0.000000;27;48
1206703915;52.485450;4.810333;0.000000;0.000000;27;48
1206703920;52.485450;4.810333;0.000000;0.000000;27;48
1206703927;52.485417;4.810333;0.000000;0.000000;27;48
1206703932;52.485433;4.810333;0.000000;0.000000;27;48
1206703937;52.485433;4.810333;0.000000;0.000000;27;48
1206703942;52.485433;4.810333;0.000000;0.000000;27;48
1206703947;52.485433;4.810333;0.000000;0.000000;25;48
1206703952;52.485433;4.810333;0.000000;0.000000;25;47
1206703957;52.485433;4.810333;0.000000;0.000000;25;47
1206703963;52.485433;4.810333;0.000000;0.000000;27;48
1206703968;52.485433;4.810333;0.000000;0.000000;27;48
1206703973;52.485433;4.810333;0.000000;0.000000;27;48
1206703978;52.485433;4.810333;0.000000;0.000000;27;48
1206703985;52.485433;4.810317;0.000000;0.000000;27;48
1206703990;52.485433;4.810333;0.000000;0.000000;27;50
1206703995;52.485417;4.810333;0.000000;0.000000;27;48
1206704000;52.485417;4.810333;0.000000;0.000000;27;48
1206704005;52.485417;4.810333;0.000000;0.000000;27;48
1206704010;52.485417;4.810333;0.000000;0.000000;25;48
1206704015;52.485417;4.810333;0.000000;0.000000;25;48
1206704021;52.485417;4.810333;0.000000;0.000000;27;48
1206704026;52.485417;4.810333;0.000000;0.000000;25;48
1206704031;52.485433;4.810333;0.000000;0.000000;25;47
1206704036;52.485433;4.810333;0.000000;0.000000;25;47
1206704041;52.485433;4.810333;0.000000;0.000000;25;48
1206704048;52.485433;4.810333;0.000000;0.000000;27;48
1206704053;52.485433;4.810333;0.000000;0.000000;25;48
1206704058;52.485433;4.810333;0.000000;0.000000;25;48
1206704063;52.485433;4.810333;0.000000;0.000000;27;48
1206704069;52.485433;4.810333;0.000000;0.000000;27;48
1206704074;52.485433;4.810333;0.000000;0.000000;27;48
1206704079;52.485433;4.810333;0.000000;0.000000;27;48
1206704084;52.485450;4.810333;0.000000;0.000000;27;48
1206704089;52.485450;4.810333;0.000000;0.000000;27;48
1206704094;52.485450;4.810333;0.000000;0.000000;27;48
1206704099;52.485450;4.810333;0.000000;0.000000;25;48
1206704116;52.485467;4.810333;0.000000;0.000000;25;48
1206704124;52.485450;4.810350;0.000000;0.000000;27;48
1206704129;52.485450;4.810350;0.000000;0.000000;27;50
1206704134;52.485450;4.810350;0.000000;0.000000;27;48
1206704139;52.485467;4.810350;0.000000;0.000000;27;48
1206704144;52.485450;4.810350;1.230000;312.100000;27;53
1206704150;52.485450;4.810350;0.000000;0.000000;27;48
1206704155;52.485450;4.810350;0.000000;0.000000;27;48
1206704160;52.485450;4.810350;0.000000;0.000000;27;48
1206704167;52.485450;4.810350;0.000000;0.000000;25;48
1206704172;52.485450;4.810367;0.000000;0.000000;27;48
1206704177;52.485450;4.810367;0.000000;0.000000;25;48
1206704178;52.485450;4.810367;0.000000;0.000000;25;48
1206704187;52.485433;4.810400;0.000000;0.000000;25;48
1206704192;52.485417;4.810467;0.000000;0.000000;25;48
1206704197;52.485433;4.810467;0.000000;0.000000;25;48
1206704203;52.485433;4.810467;0.000000;0.000000;27;48
1206704208;52.485417;4.810467;0.000000;0.000000;27;48
1206704213;52.485417;4.810483;0.000000;0.000000;27;48
1206704218;52.485400;4.810500;0.000000;0.000000;27;48
1206704225;52.485400;4.810517;0.000000;0.000000;27;48
1206704230;52.485367;4.810550;0.000000;0.000000;27;48
1206704235;52.485367;4.810550;0.000000;0.000000;27;48
1206704240;52.485350;4.810567;0.000000;0.000000;25;48
1206704245;52.485350;4.810567;0.000000;0.000000;27;48
1206704251;52.485367;4.810533;0.000000;0.000000;27;48
1206704256;52.485367;4.810533;0.000000;0.000000;27;48
1206704261;52.485417;4.810467;0.000000;0.000000;27;47
1206704266;52.485450;4.810417;0.000000;0.000000;28;48
1206704271;52.485450;4.810400;0.000000;0.000000;22;48
1206704277;52.485450;4.810400;0.000000;0.000000;27;49
1206704283;52.485450;4.810400;0.000000;0.000000;27;48
1206704288;52.485450;4.810400;0.000000;0.000000;27;48
1206704293;52.485450;4.810400;2.650000;316.200000;27;48
1206704298;52.485450;4.810383;0.000000;0.000000;27;48
1206704303;52.485367;4.810467;0.000000;0.000000;27;48
1206704309;52.485383;4.810433;0.000000;0.000000;27;48
1206704314;52.485383;4.810417;0.000000;0.000000;27;48
1206704319;52.485400;4.810383;0.000000;0.000000;27;48
1206704324;52.485417;4.810367;0.000000;0.000000;27;48
1206704329;52.485417;4.810367;0.000000;0.000000;27;48
1206704334;52.485433;4.810350;0.000000;0.000000;25;48
1206704339;52.485433;4.810350;0.000000;0.000000;25;48
1206704346;52.485433;4.810350;0.000000;0.000000;25;48
1206704351;52.485450;4.810333;0.000000;0.000000;25;48
1206704356;52.485467;4.810317;0.000000;0.000000;25;48
1206704362;52.485467;4.810317;0.000000;0.000000;27;48
1206704367;52.485483;4.810300;0.000000;0.000000;27;48
1206704372;52.485483;4.810300;0.000000;0.000000;25;48
1206704377;52.485483;4.810300;0.000000;0.000000;25;48
1206704382;52.485483;4.810300;0.000000;0.000000;27;48
1206704387;52.485500;4.810300;3.760000;133.900000;27;48
1206704392;52.485400;4.810517;0.000000;0.000000;27;48
1206704398;52.485417;4.810500;0.000000;0.000000;27;48
1206704413;52.485433;4.810483;0.000000;0.000000;25;48
1206704420;52.485433;4.810483;0.000000;0.000000;27;48
1206704427;52.485433;4.810483;0.000000;0.000000;25;48
1206704432;52.485433;4.810483;1.540000;188.100000;25;48
1206704437;52.485433;4.810467;0.000000;0.000000;27;48
1206704442;52.485450;4.810450;0.000000;0.000000;27;48
1206704447;52.485450;4.810450;0.000000;0.000000;27;48
1206704452;52.485450;4.810433;0.000000;0.000000;27;48
1206704458;52.485450;4.810433;0.000000;0.000000;27;48
1206704464;52.485433;4.810400;0.000000;0.000000;27;48
1206704469;52.485433;4.810383;0.000000;0.000000;25;48
1206704474;52.485433;4.810383;0.000000;0.000000;27;53
1206704479;52.485433;4.810383;0.000000;0.000000;27;48
1206704484;52.485450;4.810383;0.000000;0.000000;27;48
1206704490;52.485450;4.810383;0.000000;0.000000;27;48
1206704495;52.485450;4.810367;0.000000;0.000000;25;48
1206704500;52.485450;4.810350;0.000000;0.000000;25;47
1206704505;52.485450;4.810350;0.000000;0.000000;25;47
1206704510;52.485433;4.810333;0.000000;0.000000;27;48
1206704515;52.485417;4.810333;0.000000;0.000000;27;48
1206704520;52.485417;4.810317;0.000000;0.000000;27;48
1206704527;52.485417;4.810317;0.000000;0.000000;27;48
1206704532;52.485417;4.810317;0.000000;0.000000;27;48
1206704537;52.485417;4.810317;0.000000;0.000000;27;48
1206704543;52.485417;4.810317;0.000000;0.000000;27;48
1206704548;52.485433;4.810317;0.000000;0.000000;27;48
1206704553;52.485433;4.810317;0.000000;0.000000;27;48
1206704558;52.485433;4.810317;0.000000;0.000000;27;48
1206704563;52.485433;4.810317;0.000000;0.000000;27;48
1206704568;52.485433;4.810317;0.000000;0.000000;27;48
1206704573;52.485433;4.810317;0.000000;0.000000;25;48
1206704579;52.485450;4.810317;0.000000;0.000000;25;48
1206704585;52.485450;4.810317;0.000000;0.000000;25;48
1206704590;52.485450;4.810317;0.000000;0.000000;25;48
1206704596;52.485450;4.810317;0.000000;0.000000;25;48
1206704601;52.485450;4.810317;0.000000;0.000000;27;48
1206704606;52.485450;4.810317;0.000000;0.000000;27;48
1206704611;52.485450;4.810317;0.000000;0.000000;27;48
1206704616;52.485450;4.810317;0.000000;0.000000;27;48
1206704621;52.485450;4.810317;0.000000;0.000000;27;48
1206704626;52.485450;4.810317;0.000000;0.000000;27;48
1206704632;52.485450;4.810317;0.000000;0.000000;27;48
1206704637;52.485450;4.810317;0.000000;0.000000;27;48
1206704643;52.485450;4.810317;0.000000;0.000000;27;48
1206704648;52.485450;4.810317;0.000000;0.000000;27;48
1206704653;52.485450;4.810317;0.000000;0.000000;25;48
1206704658;52.485450;4.810317;0.000000;0.000000;25;48
1206704664;52.485450;4.810317;0.000000;0.000000;27;48
1206704669;52.485450;4.810317;0.000000;0.000000;25;48
1206704674;52.485450;4.810317;0.000000;0.000000;27;48
1206704679;52.485450;4.810317;0.000000;0.000000;27;48
1206704684;52.485450;4.810317;0.000000;0.000000;27;48
1206704689;52.485450;4.810317;0.000000;0.000000;27;48
1206704695;52.485450;4.810317;0.000000;0.000000;25;48
1206704700;52.485450;4.810317;0.000000;0.000000;27;48
1206704716;52.485450;4.810317;0.000000;0.000000;25;48
1206704724;52.485433;4.810300;0.000000;0.000000;27;48
1206704729;52.485433;4.810300;0.000000;0.000000;25;48
1206704734;52.485433;4.810300;0.000000;0.000000;25;48
1206704740;52.485433;4.810300;0.000000;0.000000;25;48
1206704745;52.485433;4.810300;0.000000;0.000000;27;48
1206704750;52.485433;4.810300;0.000000;0.000000;27;48
1206704755;52.485433;4.810300;0.000000;0.000000;27;48
1206704760;52.485433;4.810300;0.000000;0.000000;27;48
1206704767;52.485433;4.810300;0.000000;0.000000;25;48
1206704772;52.485433;4.810300;0.000000;0.000000;25;48
1206704777;52.485433;4.810300;0.000000;0.000000;25;48
1206704782;52.485433;4.810300;0.000000;0.000000;27;48
1206704787;52.485433;4.810300;0.000000;0.000000;25;48
1206704793;52.485433;4.810300;0.000000;0.000000;25;48
1206704798;52.485433;4.810300;0.000000;0.000000;25;48
1206704803;52.485433;4.810300;0.000000;0.000000;27;48
1206704808;52.485433;4.810300;0.000000;0.000000;27;48
1206704813;52.485433;4.810300;0.000000;0.000000;25;47
1206704818;52.485433;4.810300;0.000000;0.000000;25;48
1206704825;52.485433;4.810300;0.000000;0.000000;27;48
1206704830;52.485433;4.810300;0.000000;0.000000;27;48
1206704835;52.485433;4.810300;0.000000;0.000000;25;48
1206704841;52.485433;4.810300;0.000000;0.000000;27;48
1206704846;52.485433;4.810300;0.000000;0.000000;25;48
1206704851;52.485433;4.810300;0.000000;0.000000;25;48
1206704856;52.485433;4.810300;0.000000;0.000000;27;48
1206704861;52.485433;4.810300;0.000000;0.000000;27;48
1206704866;52.485433;4.810300;0.000000;0.000000;27;48
1206704871;52.485433;4.810300;0.000000;0.000000;25;48
1206704877;52.485433;4.810300;0.000000;0.000000;25;48
1206704883;52.485433;4.810300;0.000000;0.000000;27;48
1206704888;52.485433;4.810300;0.000000;0.000000;25;48
1206704893;52.485433;4.810300;0.000000;0.000000;25;48
1206704898;52.485433;4.810300;0.000000;0.000000;25;53
1206704904;52.485433;4.810300;0.000000;0.000000;27;48
1206704909;52.485433;4.810300;0.000000;0.000000;27;48
1206704914;52.485433;4.810300;0.000000;0.000000;25;48
1206704919;52.485433;4.810300;0.000000;0.000000;27;48
1206704924;52.485433;4.810300;0.000000;0.000000;27;48
1206704929;52.485433;4.810300;0.000000;0.000000;27;48
1206704934;52.485433;4.810300;0.000000;0.000000;27;48
1206704940;52.485433;4.810283;0.000000;0.000000;27;48
1206704946;52.485433;4.810283;0.000000;0.000000;25;48
1206704952;52.485433;4.810283;0.000000;0.000000;25;48
1206704957;52.485433;4.810283;0.000000;0.000000;25;48
1206704962;52.485433;4.810283;0.000000;0.000000;25;48
1206704967;52.485433;4.810283;0.000000;0.000000;25;48
1206704972;52.485433;4.810283;0.000000;0.000000;25;48
1206704977;52.485433;4.810283;0.000000;0.000000;25;48
1206704982;52.485433;4.810283;0.000000;0.000000;25;48
1206704987;52.485433;4.810283;0.000000;0.000000;27;48
1206704993;52.485433;4.810283;0.000000;0.000000;27;48
1206704998;52.485433;4.810283;0.000000;0.000000;27;48
1206705014;52.485433;4.810283;0.000000;0.000000;27;48
1206705022;52.485433;4.810283;0.000000;0.000000;25;48
1206705027;52.485433;4.810283;0.000000;0.000000;27;48
1206705032;52.485433;4.810283;0.000000;0.000000;25;48
1206705038;52.485433;4.810283;0.000000;0.000000;25;48
1206705043;52.485433;4.810283;0.000000;0.000000;25;48
1206705048;52.485433;4.810283;0.000000;0.000000;25;48
1206705053;52.485433;4.810283;0.000000;0.000000;25;49
1206705058;52.485433;4.810283;0.000000;0.000000;25;48
1206705065;52.485433;4.810283;0.000000;0.000000;27;48
1206705070;52.485433;4.810283;0.000000;0.000000;27;48
1206705075;52.485433;4.810283;0.000000;0.000000;27;48
1206705080;52.485433;4.810300;1.420000;288.700000;25;48
1206705086;52.485433;4.810300;0.000000;0.000000;27;48
1206705091;52.485417;4.810300;0.000000;0.000000;27;48
1206705096;52.485417;4.810300;0.000000;0.000000;25;48
1206705101;52.485417;4.810300;0.000000;0.000000;25;48
1206705106;52.485417;4.810300;0.000000;0.000000;25;48
1206705111;52.485417;4.810300;0.000000;0.000000;25;48
1206705116;52.485417;4.810300;0.000000;0.000000;25;48
1206705122;52.485417;4.810300;0.000000;0.000000;25;48
1206705128;52.485417;4.810300;0.000000;0.000000;25;48
1206705133;52.485417;4.810300;0.000000;0.000000;25;48
1206705138;52.485417;4.810300;0.000000;0.000000;25;48
